primary_position,primary_position_group,n_players,total_games,total_minutes,minutes_played,all_run_metres,all_runs,tries,try_assists,line_breaks,line_break_assists,hit_ups,kicks,bomb_kicks,kicks_defused,kick_return_metres,errors,handling_errors,tackles_made,ineffective_tackles,missed_tackles,one_on_one_lost,penalties,league_avg_errors_per_game,league_tackle_failure_rate,league_kicks_defused_per_game,league_kick_return_metres_per_game,league_kicks_defused_per80,league_kick_return_metres_per80
2nd Row,Forwards,74,3257,203741,203741,291248,32621,642,309,745,435,29255,263,11,281,4981,1754,1525,88022,3703,7615,38,1287,1.01,11.39 %,0.09,1.53,0.11,1.96
Centre,Backs,82,2620,187403,187403,308940,32369,864,694,1102,954,1615,778,56,916,11285,2289,1942,31572,2196,5344,33,795,1.61,19.28 %,0.35,4.31,0.39,4.82
Five-Eighth,Backs,49,1641,113205,113205,119230,15294,386,793,462,785,291,8257,2419,388,3084,1173,991,27089,1685,4381,9,622,1.32,18.30 %,0.24,1.88,0.27,2.18
Fullback,Backs,33,1329,94045,94045,193420,20861,537,644,680,794,507,1643,323,2746,58986,1437,1352,6878,517,1874,6,286,2.1,25.80 %,2.07,44.38,2.34,50.18
Halfback,Backs,34,1299,90329,90329,84926,11991,241,781,277,682,182,13159,3793,327,1980,858,678,22847,1414,3307,2,469,1.18,17.12 %,0.25,1.52,0.29,1.75
Hooker,Forwards,38,1696,98329,98329,66930,7999,215,304,268,310,1947,998,65,129,313,601,521,55760,2076,4502,8,675,0.66,10.55 %,0.08,0.18,0.1,0.25
Interchange,Interchange,179,4289,139209,139209,277550,30594,316,132,389,169,25547,375,51,158,26322,1074,912,80881,2957,5884,23,982,0.46,9.85 %,0.04,6.14,0.09,15.13
Lock,Forwards,27,1300,74483,74483,134382,15672,129,78,138,129,12582,68,9,56,4138,518,455,42671,1573,2609,12,588,0.75,8.93 %,0.04,3.18,0.06,4.44
Prop,Forwards,53,2487,111877,111877,271862,28792,177,66,205,117,24848,34,4,82,37882,711,609,63548,2173,3991,27,773,0.53,8.84 %,0.03,15.23,0.06,27.09
Replacement,Reserves,22,29,12,12,21,2,0,0,0,0,2,0,0,0,0,0,0,8,1,2,0,0,0,27.27 %,0,0,0,0
Reserve,Reserves,1,1,6,6,0,1,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,2,0.00 %,1,0,13.33,0
Winger,Backs,104,3056,217812,217812,397364,41618,1617,352,2102,307,1336,653,25,3394,60276,3369,2773,14470,1304,3641,27,521,2.01,25.47 %,1.11,19.72,1.25,22.14
